stpuma,FIPS_final,Name_final,display_geo,Assignment
1000101,10003c,"New Castle County, DE",10003,Other
1000102,10003c,"New Castle County, DE",10003,Other
1000103,10003c,"New Castle County, DE",10003,Other
1000104,10003c,"New Castle County, DE",10003,Other
0101301,1073c,"Jefferson County, AL",01073,Other
0101302,1073c,"Jefferson County, AL",01073,Other
0101303,1073c,"Jefferson County, AL",01073,Other
0101304,1073c,"Jefferson County, AL",01073,Other
0101305,1073c,"Jefferson County, AL",01073,Other
1100101,11001a,"Washington, DC",1150000,Principal city
1100102,11001a,"Washington, DC",1150000,Principal city
1100103,11001a,"Washington, DC",1150000,Principal city
1100104,11001a,"Washington, DC",1150000,Principal city
1100105,11001a,"Washington, DC",1150000,Principal city
1200901,12009c,"Brevard County, FL",12009,Other
1200902,12009c,"Brevard County, FL",12009,Other
1200903,12009c,"Brevard County, FL",12009,Other
1200904,12009c,"Brevard County, FL",12009,Other
1201101,12011c,"Broward County, FL",12011,Other
1201102,12011c,"Broward County, FL",12011,Other
1201103,12011c,"Broward County, FL",12011,Other
1201104,12011c,"Broward County, FL",12011,Other
1201105,12011c,"Broward County, FL",12011,Other
1201106,12011c,"Broward County, FL",12011,Other
1201107,12011c,"Broward County, FL",12011,Other
1201108,12011c,"Broward County, FL",12011,Other
1201109,12011c,"Broward County, FL",12011,Other
1201110,12011c,"Broward County, FL",12011,Other
1201111,12011c,"Broward County, FL",12011,Other
1201112,12011c,"Broward County, FL",12011,Other
1201113,12011c,"Broward County, FL",12011,Other
1201114,12011c,"Broward County, FL",12011,Other
1203101,12031a,"Jacksonville, FL",1235000,Principal city
1203102,12031a,"Jacksonville, FL",1235000,Principal city
1203103,12031a,"Jacksonville, FL",1235000,Principal city
1203104,12031a,"Jacksonville, FL",1235000,Principal city
1203105,12031a,"Jacksonville, FL",1235000,Principal city
1203106,12031a,"Jacksonville, FL",1235000,Principal city
1203107,12031a,"Jacksonville, FL",1235000,Principal city
1205701,12057c,"Hillsborough County, FL",12057,Other
1205702,12057c,"Hillsborough County, FL",12057,Other
1205703,12057c,"Hillsborough County, FL",12057,Other
1205704,12057c,"Hillsborough County, FL",12057,Other
1205705,12057c,"Hillsborough County, FL",12057,Other
1205706,12057c,"Hillsborough County, FL",12057,Other
1205707,12057c,"Hillsborough County, FL",12057,Other
1205708,12057c,"Hillsborough County, FL",12057,Other
1207101,12071c,"Lee County, FL",12071,Other
1207102,12071c,"Lee County, FL",12071,Other
1207103,12071c,"Lee County, FL",12071,Other
1207104,12071c,"Lee County, FL",12071,Other
1207105,12071c,"Lee County, FL",12071,Other
1208601,12086c,"Miami-Dade County, FL",12086,Other
1208602,12086c,"Miami-Dade County, FL",12086,Other
1208603,12086c,"Miami-Dade County, FL",12086,Other
1208604,12086c,"Miami-Dade County, FL",12086,Other
1208605,12086c,"Miami-Dade County, FL",12086,Other
1208606,12086c,"Miami-Dade County, FL",12086,Other
