FIPS_final,Name_final,group,superclus2,sample,count,unemployed,lastworked_pastyr,male,age25,agemed,age75,a2534,a3544,a4554,a5564,whiteNH,blackNH,latino,asianNH,otherNH,insch,lths,hs,sc,aa,baplus,dis,fb,lep,married,children,nospouse_kids,snap,fincpadj
,AGGREGATE GEOS,SUPERCLUSTER,6,36755,1205776.754146401,.27552727,.29075035,.35619915,48,56,60,.014854495,.16524206,.21796127,.60194218,.65794533,.082052879,.097985208,.14256158,.01945499,.0055873659,0,0,0,0,1,.10407702,.29039228,.13546059,.66886598,.1533474,.033520062,.086629376,83546.35691839909
,AGGREGATE GEOS,SUPERCLUSTER,3,26408,1222002.219870502,.35678172,.26904485,.39407718,27,30,33,.89371651,.062151615,.037811127,.0063207173,.24876875,.23947474,.44000444,.046437752,.025314327,.0098948227,.40728512,.59271485,0,0,0,.11139553,.35058004,.28627762,.35275203,.45458743,.19993298,.4571211,30753.26021536163
,AGGREGATE GEOS,SUPERCLUSTER,7,28088,1048371.587043383,.42489249,.37947881,.35560906,29,34,45,.50356609,.22672619,.2644715,.0052362308,.49261463,.101922,.14501366,.2283995,.032050207,.021891255,0,0,0,0,1,.064071491,.38748732,.17320991,.54386967,.33104587,.073432587,.11279588,65082.16
,AGGREGATE GEOS,SUPERCLUSTER,4,39727,1386480.327274097,.29172039,.25618783,.35496753,46,55,59,.008630584,.21281788,.25772175,.5208298,.55440325,.17414567,.1667628,.075869285,.028819039,.024581,0,0,.73327923,.26056927,.0061515048,.18453896,.2227478,.12297795,.55839235,.15537944,.05615386,.21895896,54228.24884642101
,AGGREGATE GEOS,SUPERCLUSTER,1,105203,4243719.400601142,.27544919,.20018379,.35540769,37,45,52,.1512057,.32846174,.34768406,.17264853,.29661274,.17241877,.42929778,.081423357,.020247342,.0043256963,.44469702,.55528754,.000015466498,0,0,.16274159,.45004377,.37532133,.50234574,.32083154,.10668321,.35655075,35336.76917695239
,AGGREGATE GEOS,SUPERCLUSTER,2,18068,655226.0795511468,.18045405,.16610657,.35160553,56,59,61,0,.010630764,.024419984,.96494925,.37898782,.1591811,.30400175,.1384819,.019347409,.0009773511,.42892212,.5676592,.0025897259,.00082899415,0,.2164809,.4653663,.38721934,.5920223,.043681804,.012177634,.26364744,45432.98894179592
,AGGREGATE GEOS,SUPERCLUSTER,5,37436,1554480.247230561,.45869383,.34780449,.3799856,29,33,44,.55220079,.21664514,.2179227,.013231393,.41135716,.22288546,.25027272,.078303784,.037180886,.081349634,0,0,.75734121,.23355983,.0090989852,.12382829,.22815365,.11909114,.40211883,.3931343,.16758773,.32253397,41711.67193876883
10003c,"New Castle County, DE",ALL,,912,37324.10103545633,.3535516,.29274032,.41337439,33,44,53,.28378898,.22429326,.27032393,.22159383,.54178464,.27939355,.11645759,.043006908,.019357326,.01858034,.17810373,.42825785,.16983387,.052280258,.1715243,.17420106,.15516274,.10116028,.3847602,.25602344,.12886465,.32141814,50230.325018424
10003c,"New Castle County, DE",1,1,258,11313.48422177525,.36121202,.25968558,.4700397,39,45,50,.026244905,.44418249,.52957261,0,.5189926,.27032396,.18080069,.016417993,.013464758,.015293821,.30188903,.698111,0,0,0,.20352049,.13046324,.13339715,.29998711,.27526093,.15645546,.41550267,42101.23641939755
10003c,"New Castle County, DE",2,3,134,7053.014510484983,.39634699,.29161569,.49093318,26,29,32,1,0,0,0,.48718107,.32532832,.15869555,.0065239682,.022271108,.022550784,.30281386,.69718617,0,0,0,.1190655,.15727709,.086215004,.18400811,.39245099,.24599536,.4617267,46859.15519999999
10003c,"New Castle County, DE",3,2,119,4265.402175608915,.17605972,.19577804,.33380795,56,58,60,0,0,0,1,.50437248,.28594047,.13078022,.063433498,.015473336,0,.25704357,.7429564,0,0,0,.21170197,.18699998,.12104106,.58091599,.032195475,.012423991,.20523563,51767.98802919209
