"FIPS_final","Name_final","stpuma","cbsa","metro_name","pct_cluster1","pct_cluster2","pct_cluster3","pct_cluster4","pct_cluster5","pct_cluster6","pct_cluster7","pct_cluster8","pct_cluster9","pct_supercluster1","pct_supercluster2","pct_supercluster3","pct_supercluster4","pct_supercluster5","pct_supercluster6","pct_supercluster7"
"10003c","New Castle County, DE","1000101",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.42795596,0.3079026,0.2835761,0.24730492,0.32753432,0.076106966,0.18810047,,,0.42795596,0.2835761,0.3079026,0.24730492,0.32753432,0.18810047,0.076106966
"10003c","New Castle County, DE","1000102",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.15468076,0.13270694,0.22075582,0.24187844,0.13233362,0.28005356,0.43862808,,,0.15468076,0.22075582,0.13270694,0.24187844,0.13233362,0.43862808,0.28005356
"10003c","New Castle County, DE","1000103",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.15797332,0.25853968,0.26385233,0.28723261,0.25017193,0.43684188,0.24191712,,,0.15797332,0.26385233,0.25853968,0.28723261,0.25017193,0.24191712,0.43684188
"10003c","New Castle County, DE","1000104",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.25938997,0.30085075,0.23181574,0.22358401,0.28996009,0.20699757,0.13135435,,,0.25938997,0.23181574,0.30085075,0.22358401,0.28996009,0.13135435,0.20699757
"1073c","Jefferson County, AL","0101301",13820,"Birmingham-Hoover, AL",0.2035569,0.22195347,0.16566649,0.25236872,0.20030606,0.045104016,0.058907054,,,0.22195347,0.16566649,0.2035569,0.20030606,0.25236872,0.058907054,0.045104016
"1073c","Jefferson County, AL","0101302",13820,"Birmingham-Hoover, AL",0.29184598,0.17864494,0.15966724,0.1574422,0.15784167,0.31646225,0.1297646,,,0.17864494,0.15966724,0.29184598,0.15784167,0.1574422,0.1297646,0.31646225
"1073c","Jefferson County, AL","0101303",13820,"Birmingham-Hoover, AL",0.085399061,0.10483571,0.17571923,0.18434325,0.16249709,0.43315333,0.55242145,,,0.10483571,0.17571923,0.085399061,0.16249709,0.18434325,0.55242145,0.43315333
"1073c","Jefferson County, AL","0101304",13820,"Birmingham-Hoover, AL",0.21543474,0.26975596,0.3399058,0.21154918,0.25163195,0.13998695,0.19490288,,,0.26975596,0.3399058,0.21543474,0.25163195,0.21154918,0.19490288,0.13998695
"1073c","Jefferson County, AL","0101305",13820,"Birmingham-Hoover, AL",0.20376329,0.2248099,0.15904124,0.19429663,0.22772326,0.065293431,0.064004019,,,0.2248099,0.15904124,0.20376329,0.22772326,0.19429663,0.064004019,0.065293431
"11001a","Washington, DC","1100101",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.006614093,0.007126442,0.041516837,0.066517249,0.30612513,0.25906387,,,,0.007126442,,0.006614093,0.066517249,0.041516837,0.30612513,0.25906387
"11001a","Washington, DC","1100102",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.21385904,0.19513436,0.1715329,0.15961695,0.20010373,0.17289191,,,,0.19513436,,0.21385904,0.15961695,0.1715329,0.20010373,0.17289191
"11001a","Washington, DC","1100103",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.11553444,0.20957245,0.20087324,0.2756511,0.14516212,0.12035796,,,,0.20957245,,0.11553444,0.2756511,0.20087324,0.14516212,0.12035796
"11001a","Washington, DC","1100104",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.53827912,0.44893414,0.46614885,0.23488733,0.095698647,0.054540109,,,,0.44893414,,0.53827912,0.23488733,0.46614885,0.095698647,0.054540109
"11001a","Washington, DC","1100105",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.12571326,0.13923261,0.11992813,0.26332736,0.25291035,0.39314616,,,,0.13923261,,0.12571326,0.26332736,0.11992813,0.25291035,0.39314616
"12009c","Brevard County, FL","1200901",37340,"Palm Bay-Melbourne-Titusville, FL",0.38321209,,0.34334722,0.31354338,0.35394669,0.29355717,,,,0.38321209,,,0.31354338,0.34334722,0.30443934,
"12009c","Brevard County, FL","1200902",37340,"Palm Bay-Melbourne-Titusville, FL",0.16655853,,0.19965477,0.26475278,0.18092284,0.37099314,,,,0.16655853,,,0.26475278,0.19965477,0.33674258,
"12009c","Brevard County, FL","1200903",37340,"Palm Bay-Melbourne-Titusville, FL",0.18161465,,0.2295738,0.24899057,0.21401973,0.22389166,,,,0.18161465,,,0.24899057,0.2295738,0.22211275,
"12009c","Brevard County, FL","1200904",37340,"Palm Bay-Melbourne-Titusville, FL",0.26861474,,0.2274242,0.17271326,0.25111073,0.11155805,,,,0.26861474,,,0.17271326,0.2274242,0.13670537,
"12011c","Broward County, FL","1201101",33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.048274986,0.086210422,0.046101045,0.12719317,0.077667244,0.07796108,,,,0.048274986,,0.046101045,0.077667244,0.07796108,0.086210422,0.12719317
