FIPS_final,Name_final,supercluster_pct1,supercluster_pct2,supercluster_pct3,supercluster_pct4,supercluster_pct5,supercluster_pct6,supercluster_pct7
10003c,"New Castle County, DE",0.283,0.130,0.147,0.128,0.104,0.170,0.037
1073c,"Jefferson County, AL",0.240,0.144,0.162,0.182,0.123,0.126,0.023
11001a,"Washington, DC",0.303,,0.164,0.079,0.146,0.221,0.087
12009c,"Brevard County, FL",0.435,,,0.164,0.220,0.181,
12011c,"Broward County, FL",0.371,,0.110,0.173,0.114,0.191,0.041
12031a,"Jacksonville, FL",0.398,,0.132,0.085,0.222,0.117,0.044
12057c,"Hillsborough County, FL",0.367,,0.153,0.208,0.074,0.163,0.035
12071c,"Lee County, FL",0.366,,0.131,0.232,0.061,0.112,0.097
12086c,"Miami-Dade County, FL",0.439,,0.113,0.181,0.064,0.157,0.045
12095c,"Orange County, FL",0.270,,0.189,0.208,0.090,0.190,0.053
12099c,"Palm Beach County, FL",0.219,0.142,0.104,0.212,0.054,0.239,0.029
12103c,"Pinellas County, FL",0.233,0.139,0.092,0.241,0.064,0.203,0.028
12105c,"Polk County, FL",0.298,0.154,0.169,0.154,0.111,0.048,0.065
13067c,"Cobb County, GA",0.257,,0.139,0.163,0.122,0.266,0.053
13089c,"DeKalb County, GA",0.242,,0.225,0.129,0.153,0.190,0.061
13121c,"Fulton County, GA",0.331,0.098,,0.147,0.105,0.265,0.053
13135c,"Gwinnett County, GA",0.370,0.096,,0.181,0.113,0.148,0.091
15003c,"Honolulu County, HI",0.349,,0.129,0.196,0.109,0.217,
17031a,"Chicago, IL",0.439,0.135,,0.159,0.084,0.055,0.129
17031b,"Cook County (excluding Chicago), IL",0.294,,0.170,0.085,0.200,0.199,0.053
17043c,"DuPage County, IL",0.249,,0.086,0.034,0.233,0.166,0.232
17089c,"Kane County, IL",0.483,,0.098,0.086,0.165,0.130,0.037
17097c,"Lake County, IL",0.221,0.096,0.113,0.154,0.082,0.167,0.168
17197c,"Will County, IL",0.279,0.244,,0.096,0.205,0.060,0.116
18097a,"Indianapolis, IN",0.423,,0.157,0.171,0.078,0.152,0.019
20091c,"Johnson County, KS",0.179,0.082,,0.118,0.169,0.225,0.226
21111a,"Louisville/Jefferson County, KY",0.241,0.135,0.112,0.090,0.181,0.100,0.142
24003c,"Anne Arundel County, MD",0.461,,,0.110,0.188,0.194,0.046
24005c,"Baltimore County, MD",0.369,,0.138,0.193,0.078,0.123,0.099
24031c,"Montgomery County, MD",0.235,,0.080,0.121,0.085,0.217,0.261
24033c,"Prince George's County, MD",0.400,0.127,,0.184,0.085,0.058,0.146
24510a,"Baltimore, MD",0.418,,0.193,0.238,,0.092,0.059
25005c,"Bristol County, MA",0.217,0.204,0.131,,0.275,0.138,0.035
25009c,"Essex County, MA",0.312,,0.163,0.184,0.064,0.240,0.036
25025a,"Boston, MA",0.361,,0.145,0.142,0.069,0.135,0.147
25027c,"Worcester County, MA",0.244,0.130,0.098,0.096,0.177,0.211,0.045
26081c,"Kent County, MI",0.525,,,0.162,0.138,0.176,
26099c,"Macomb County, MI",0.392,,0.140,0.169,0.139,0.063,0.096
26125c,"Oakland County, MI",0.364,,,0.125,0.199,0.133,0.179
26163a,"Detroit, MI",,,0.649,0.064,0.211,0.022,0.054
26163b,"Wayne County (excluding Detroit), MI",0.424,,0.129,0.207,0.074,0.059,0.107
27053c,"Hennepin County, MN",0.273,0.108,,0.189,0.104,0.267,0.058
27123c,"Ramsey County, MN",0.350,0.133,,,0.295,0.174,0.049
29095c,"Jackson County, MO",0.518,,,0.233,0.073,0.126,0.050
29189c,"St. Louis County, MO",0.289,,0.083,0.097,0.209,0.164,0.158
31055c,"Douglas County, NE",0.275,0.105,0.110,0.191,0.086,0.168,0.065
32003a,"Las Vegas, NV",0.391,,0.152,0.186,0.114,0.110,0.047
32003b,"Clark County (excluding Las Vegas), NV",0.400,0.131,,0.083,0.224,0.138,0.024
34003c,"Bergen County, NJ",0.306,,0.069,0.109,0.130,0.269,0.118
34007c,"Camden County, NJ",0.362,,0.168,0.067,0.196,0.085,0.122
34013c,"Essex County, NJ",0.290,0.126,0.143,0.165,0.065,0.087,0.125
34017c,"Hudson County, NJ",0.389,,0.138,0.043,0.140,0.061,0.230
34023c,"Middlesex County, NJ",0.323,,0.117,0.062,0.135,0.267,0.096
34025c,"Monmouth County, NJ",0.298,,0.092,0.212,0.052,0.135,0.212
34029c,"Ocean County, NJ",0.348,0.147,,0.162,0.138,0.086,0.120
34031c,"Passaic County, NJ",0.350,0.114,0.157,0.055,0.138,0.087,0.098
34039c,"Union County, NJ",0.402,,0.127,0.178,0.051,0.078,0.164
35001a,"Albuquerque, NM",0.228,0.122,0.145,0.230,0.077,0.156,0.042
36005a,"The Bronx, New York City",0.334,0.129,0.204,0.043,0.177,0.032,0.081
36029c,"Erie County, NY",0.310,,0.188,0.091,0.228,0.142,0.041
36047a,"Brooklyn, New York City",0.261,0.155,0.184,0.073,0.129,0.130,0.068
36055c,"Monroe County, NY",0.256,,0.242,0.167,0.123,0.100,0.112
36059c,"Nassau County, NY",0.297,,0.079,0.095,0.148,0.159,0.223
36061a,"Manhattan, New York city",0.324,0.107,,0.060,0.107,0.288,0.114
36081a,"Queens and Staten Island, New York City",0.413,0.164,,0.050,0.162,0.055,0.157
36103c,"Suffolk County, NY",0.359,,0.110,0.204,0.060,0.223,0.044
36119c,"Westchester County, NY",0.204,0.128,0.089,0.116,0.084,0.149,0.229
37119c,"Mecklenburg County, NC",0.306,,0.125,0.083,0.207,0.191,0.088
37183c,"Wake County, NC",0.252,0.077,,0.092,0.206,0.300,0.072
39035c,"Cuyahoga County, OH",0.370,0.163,,0.202,0.083,0.152,0.030
39049c,"Franklin County, OH",0.532,,,0.194,0.067,0.157,0.050
39061c,"Hamilton County, OH",0.371,0.121,,0.082,0.197,0.132,0.098
39113c,"Montgomery County, OH",0.369,0.144,,0.268,0.083,0.109,0.028
39153c,"Summit County, OH",0.413,,0.135,0.075,0.172,0.167,0.039
40109c,"Oklahoma County, OK",0.411,,0.167,0.171,0.088,0.117,0.046
4013a,"Phoenix, AZ",0.352,0.107,0.164,0.157,0.079,0.050,0.091
4013b,"Maricopa County (excluding Phoenix), AZ",0.338,0.115,,0.134,0.187,0.154,0.072
40143c,"Tulsa County, OK",0.376,,0.184,0.091,0.194,0.086,0.068
4019c,"Pima County, AZ",0.492,,,0.237,0.081,0.158,0.031
41051a,"Portland, OR",0.267,,0.093,0.238,0.096,0.187,0.119
41067c,"Washington County, OR",0.284,0.107,,0.209,0.217,,0.183
42003c,"Allegheny County, PA",0.348,,0.098,0.214,0.060,0.127,0.154
42017c,"Bucks County, PA",0.218,0.164,0.071,0.188,0.050,0.257,0.053
42045c,"Delaware County, PA",0.394,0.131,,,0.246,0.112,0.117
42071c,"Lancaster County, PA",0.466,0.255,,,0.144,0.103,0.031
42091c,"Montgomery County, PA",0.232,0.152,,0.164,0.076,0.310,0.065
42101a,"Philadelphia, PA",0.341,0.128,0.196,0.133,0.064,0.037,0.102
44007c,"Providence County, RI",0.346,0.139,0.100,0.115,0.192,,0.109
