FIPS_final,Name_final,POP,sample,count,age,a2554,a2534,a3544,a4554,a5564,employed,unemployed,nilf,lastworked_pastyr,lastworked_1to5,lastworked_5never,supersector_0,supersector_1011,supersector_1012,supersector_1013,supersector_1021,supersector_1022,supersector_1023,supersector_1024,supersector_1025,supersector_1026,supersector_1027,supersector_1028,supersector_1029,supersector_pct1,supersector_pct2,supersector_pct3,occ_major_0,occ_major_1,occ_major_2,occ_major_3,occ_major_4,occ_major_5,occ_major_6,occ_major_7,occ_major_8,occ_major_9,occ_major_10,occ_major_pct1,occ_major_pct2,occ_major_pct3,fincpadj,npf,np,poor,own,intpadj,male,whiteNH,blackNH,latino,asianNH,otherNH,insch,insch_hs,insch_undergrad,insch_gradprof,lths,hs,sc,aa,baplus,dis,ddrs,dear,deye,dout,dphy,drem,occupation_1,occupation_2,occupation_3,industry_1,industry_2,industry_3,citizen,fb,fb_hsless,fb_baplus,lep,pobp1,pobp_pct1,pobp2,pobp_pct2,pobp3,pobp_pct3,lanp1,lanp_pct1,lanp2,lanp_pct2,lanp3,lanp_pct3,gq,married,familyhh_spouse_ownkids,nospouse_kids,children,youngchild,gcr,livewparent_yngsingle,nonfamilyhh_alone,ssinc,retinc,safetynet,snap,medicaid,pbinc,ssiinc
,Whole US,Universe population,4761197,164856648.5,45,0.758834183,0.255352825,0.243515566,0.259965807,0.241165802,0.734119534,0.047288358,0.218592092,0.78634584,0.075101107,0.138553023,0.137276351,0.017272396,0.059413541,0.091264658,0.155310526,0.01899991,0.057456851,0.101140961,0.201870456,0.067821242,0.041728619,0.043668658,0.006775819,0.201870441,0.155310526,0.137276351,0.240977034,0.133013889,0.194706529,0.145762265,0.083276838,0.112634666,0.006472692,0.048234925,0.028015336,0.005555951,0.001349876,0.240977004,0.194706514,0.14576225,75094.8,3.407004237,3.13716647,0.128973678,0.651215911,1300.519743,0.487892628,0.634720325,0.119979151,0.161906853,0.05977482,0.023618836,0.057404187,0.001913483,0.036142621,0.019348083,0.115218826,0.261582017,0.214872345,0.089549504,0.318777293,0.11293456,0.020623403,0.023023726,0.020996053,0.039582022,0.05986812,0.045065876,(None reported),Professional and Related,Service,Education and Health Services,"Trade, Transportation, and Utilities",(None reported),0.900637686,0.184262767,0.093118913,0.055327892,0.10495431,United States,0.805465341,Mexico,0.055661716,India,0.010362717,English,0.776082397,Spanish,0.135138437,Chinese,0.007486774,0.004988269,0.572016895,0.269072354,0.080115907,0.351202369,0.143846452,0.012447458,0.02786923,0.11674621,0.061155356,0.049016871,0.208717525,0.14695406,0.125483036,0.017992547,0.031544816
,Whole US,Sample population,639881,22873339.34,45,0.74185729,0.272545844,0.219809309,0.249502122,0.25814274,0,0.306553513,0.693446517,0.274141401,0.281274706,0.444583863,0.407904446,0.015173115,0.051148988,0.050266329,0.108093739,0.011402096,0.027554793,0.075278156,0.098715484,0.06698548,0.031458553,0.014143194,0.041875634,0.407904446,0.108093739,0.098715484,0.526621401,0.052423138,0.07709004,0.129828691,0.064781077,0.079115994,0.008302966,0.044734083,0.014615647,0.001939295,0.000547677,0.526621401,0.129828691,0.079115994,40384.87906,3.551879825,3.397952054,0.376108795,0.577706814,1886.12709,0.364562362,0.550309062,0.143126801,0.213028461,0.063829549,0.029706161,0.018343842,0.000934629,0.017409213,0,0.217120171,0.337439567,0.204473078,0.06782911,0.173138097,0.168030888,0.030382065,0.02580452,0.03045694,0.064065523,0.090059482,0.075551569,(None reported),Service,Office and Administrative Support,(None reported),"Trade, Transportation, and Utilities",Education and Health Services,0.84130317,0.238884583,0.156707361,0.04417827,0.171381935,United States,0.751521349,Mexico,0.090017438,China,0.009673474,English,0.715187013,Spanish,0.183082297,Chinese,0.008667496,0.012533516,0.521565437,0.184415177,0.103210926,0.290998042,0.13885963,0.015345094,0.041376315,0.077229679,0,0,0.398857206,0.300651133,0.241362095,0.053355068,0
,Aggregate sample geographies,Universe population,2105059,78864227.4,44,0.77851969,0.274504721,0.249984309,0.254030645,0.22148034,0.743359745,0.050838728,0.205801532,0.793166161,0.069928929,0.13690491,0.134836838,0.008144397,0.055631608,0.076075748,0.154527172,0.02333815,0.06647072,0.120346665,0.195909932,0.073480234,0.043968357,0.03902778,0.008242394,0.195909932,0.154527187,0.134836838,0.226052806,0.144061387,0.204697937,0.149910778,0.085991189,0.112598114,0.003845685,0.043767419,0.023772998,0.003986983,0.001314714,0.226052821,0.204697952,0.149910778,80063.02274,3.536670064,3.24090919,0.128051013,0.590275884,1463.840884,0.487885952,0.497891635,0.144922659,0.237704664,0.096269354,0.02321168,0.062947966,0.002181599,0.038280848,0.022485517,0.127003238,0.226549253,0.202414542,0.080088206,0.363944769,0.094127975,0.017561834,0.017269846,0.018030446,0.033528041,0.048974648,0.03767667,(None reported),Professional and Related,Service,Education and Health Services,"Trade, Transportation, and Utilities",(None reported),0.848962724,0.286544114,0.142774627,0.087733753,0.162386402,United States,0.702076316,Mexico,0.080595277,India,0.016250182,English,0.662357688,Spanish,0.201339647,Chinese,0.012289908,0.005351603,0.542623341,0.265069067,0.081019148,0.347938746,0.145905688,0.010430568,0.03290005,0.118594319,0.046706881,0.038696043,0.211701795,0.144136235,0.130080298,0.018817222,0.028242659
,Aggregate sample geographies,Sample population,291761,11319690.68,44,0.748484254,0.278505385,0.224911883,0.245067,0.251515746,0,0.319724262,0.680275738,0.259068877,0.268734515,0.472196639,0.42834723,0.007994922,0.043040812,0.041456137,0.103827164,0.013778176,0.030669678,0.081016071,0.092706792,0.06241589,0.032325562,0.012575226,0.049846344,0.4283472,0.103827164,0.092706785,0.543134689,0.055161048,0.079989806,0.122489862,0.063266955,0.07871072,0.005403614,0.036839869,0.012928149,0.00155699,0.000518317,0.54313463,0.122489862,0.079989806,42303.16081,3.713184697,3.550623862,0.37400201,0.520622313,2033.512914,0.362804025,0.40013656,0.169938326,0.304774135,0.100025289,0.02512568,0.019555161,0.000990617,0.018564545,0,0.235537797,0.305066049,0.194010183,0.0640449,0.201341078,0.142231271,0.026202187,0.020125123,0.026197415,0.055061817,0.074915864,0.0635662,(None reported),Service,Professional and Related,(None reported),"Trade, Transportation, and Utilities",Education and Health Services,0.765618145,0.359134912,0.233527154,0.067653827,0.256118417,United States,0.63020581,Mexico,0.126273721,China,0.015946196,English,0.585072458,Spanish,0.26451388,Chinese,0.01403961,0.014534895,0.506087184,0.186361954,0.102593832,0.292056471,0.138273537,0.013717095,0.045388043,0.075755812,0,0,0.406230181,0.289158642,0.263137817,0.059793938,0
10003c,"New Castle County, DE",Sample population,912,37324.10104,44,0.778406203,0.283788979,0.224293262,0.270323932,0.221593827,0,0.353551596,0.646448433,0.292740315,0.29209736,0.415162325,0.387505084,0.007533881,0.068405017,0.052727286,0.129314408,0.003878005,0.053293623,0.092016466,0.074971162,0.078439504,0.012087436,0.005544487,0.034283634,0.387505084,0.129314423,0.092016466,0.491795927,0.068746373,0.068823956,0.137512654,0.07676959,0.077826127,0.005458868,0.049882762,0.01844251,0.002620541,0.002120694,0.491795897,0.137512654,0.07782612,50230.32502,3.523853577,3.32942172,0.366725743,0.636187494,1508.367175,0.413374394,0.541784644,0.279393554,0.116457589,0.043006908,0.019357326,0.01858034,0.001563594,0.017016746,0,0.17810373,0.428257853,0.169833869,0.052280258,0.171524301,0.174201056,0.040830594,0.026595062,0.035086509,0.067323752,0.101069659,0.094458319,(None reported),Service,Office and Administrative Support,(None reported),"Trade, Transportation, and Utilities",Professional and Business Services,0.896820188,0.155162737,0.090635851,0.046746161,0.10116028,United States,0.840176523,Mexico,0.045253281,India,0.01938691,English,0.808168232,Spanish,0.105404578,Swahili,0.014895546,0.022455079,0.384760201,0.123772107,0.128864646,0.256023437,0.111287631,0.009168508,0.072974265,0.075916186,0,0,0.462623775,0.321418136,0.374335587,0.062374,0
10003c,"New Castle County, DE",Universe population,7641,294364.0624,45,0.761526167,0.262286514,0.233053789,0.26618588,0.238473818,0.76221621,0.050684225,0.187099576,0.809950709,0.076461971,0.113587342,0.11411006,0.003770742,0.050311632,0.073431067,0.150603831,0.013398502,0.116735145,0.114106625,0.230286151,0.058953151,0.031275742,0.037664291,0.005353067,0.230286151,0.150603831,0.116735153,0.18693012,0.168278486,0.233107314,0.142210901,0.075310528,0.125041246,0.002834168,0.037290383,0.024262287,0.00366679,0.00106777,0.233107314,0.18693012,0.168278486,91115.024,3.374638502,3.096372422,0.100897066,0.713676274,1030.752846,0.475191236,0.60555476,0.23380062,0.086705439,0.058920838,0.015018368,0.065072499,0.00199671,0.032364696,0.030711098,0.077753201,0.263888985,0.203909457,0.072396532,0.382051826,0.096107051,0.019743683,0.015852116,0.019471761,0.032955471,0.051103,0.041314296,Professional and Related,(None reported),"Management, Business, and Financial",Education and Health Services,"Trade, Transportation, and Utilities",Financial Activities,0.918104053,0.141579941,0.047286063,0.070971869,0.05451354,United States,0.851766706,Mexico,0.028469512,India,0.028250562,English,0.842576206,Spanish,0.072272003,Chinese,0.010962937,0.004635273,0.535166264,0.23895447,0.088451713,0.32896024,0.140942246,0.016168877,0.038248021,0.116852887,0.053827729,0.056175157,0.205621734,0.143213496,0.137233555,0.016711839,0.024362791
1073c,"Jefferson County, AL",Sample population,1164,44743.12642,43,0.746349275,0.309737802,0.208072826,0.228538632,0.253650725,0,0.343276232,0.656723797,0.271689296,0.32039991,0.407910794,0.351567209,0.003849776,0.053390656,0.047171339,0.128238186,0.007418113,0.031132484,0.081370085,0.099768668,0.090013012,0.037171833,0.010859009,0.058049623,0.351567209,0.128238186,0.099768676,0.496331424,0.051673401,0.065934591,0.162122622,0.078769572,0.090222374,0.001518965,0.041271802,0.008914527,0.002749026,0.000491695,0.496331453,0.162122622,0.090222374,30650.74935,3.265912598,3.048251337,0.440450609,0.578691125,1027.247083,0.363240957,0.429686725,0.49138552,0.05312518,0.015630538,0.010172023,0.011469031,0,0.011469031,0,0.18689844,0.374677241,0.229086459,0.068965316,0.140372545,0.209635168,0.035048489,0.029663388,0.035742842,0.065755852,0.11630331,0.093181245,(None reported),Service,Office and Administrative Support,(None reported),"Trade, Transportation, and Utilities",Education and Health Services,0.958698988,0.057828218,0.039519243,0.008424293,0.046110366,United States,0.935193539,Mexico,0.034015998,Honduras,0.003479114,English,0.933982432,Spanish,0.047848247,French,0.004200236,0.02538747,0.410941213,0.120192818,0.149722084,0.27385971,0.140686661,0.011296947,0.063689604,0.088000424,0,0,0.393690228,0.349142075,0.150669321,0.042114235,0
1073c,"Jefferson County, AL",Universe population,8830,348680.7278,44,0.751051188,0.267285198,0.240861073,0.242904916,0.248948827,0.711718619,0.049427036,0.238854364,0.757793605,0.081670925,0.160535485,0.15499498,0.007485601,0.046404749,0.07757248,0.157022327,0.020104751,0.072847851,0.093077376,0.216667756,0.066989116,0.046039756,0.032276697,0.008516558,0.216667756,0.157022327,0.154994994,0.25936538,0.130618334,0.191310585,0.140949145,0.083266675,0.123339184,0.001885006,0.038740069,0.024818994,0.004006583,0.001700046,0.25936538,0.191310585,0.140949145,69707.38982,3.212534175,2.880527395,0.159166917,0.646913826,1123.255961,0.468353331,0.515918851,0.418435454,0.034612164,0.017877303,0.013156225,0.056716859,0.000680326,0.035649415,0.020387121,0.099009179,0.252550244,0.230804607,0.084410928,0.333225042,0.153943494,0.029760422,0.027406245,0.030131347,0.052099001,0.093105949,0.055711884,(None reported),Professional and Related,Service,Education and Health Services,"Trade, Transportation, and Utilities",(None reported),0.964046121,0.051236477,0.026171749,0.017170386,0.03275881,United States,0.940884769,Mexico,0.020523861,India,0.003755669,English,0.940463185,Spanish,0.032011423,Chinese,0.00297626,0.007286987,0.507509232,0.228802383,0.099935792,0.329702675,0.138357729,0.016170913,0.029810846,0.149216518,0.081583701,0.059976492,0.219139978,0.164964125,0.109948024,0.01346375,0.048312515
11001a,"Washington, DC",Sample population,1235,48277.84092,43,0.775029123,0.310870111,0.221302986,0.242856041,0.224970877,0,0.424327523,0.575672448,0.287216723,0.343124121,0.369659156,0.308259815,0.000552358,0.029576208,0.007325715,0.100944772,0.014216034,0.026414851,0.10964971,0.137584299,0.093891568,0.061618127,0.044913542,0.065053001,0.308259815,0.137584299,0.109649718,0.415699542,0.089656919,0.134356707,0.166825935,0.060244597,0.096071132,0,0.026320169,0.009740991,0.000835442,0.000248561,0.415699542,0.166825935,0.134356707,42653.8464,3.399327929,3.076861289,0.413372487,0.381875396,2142.621529,0.437985599,0.188982427,0.666927099,0.098307937,0.029163679,0.01661884,0.023047222,0.004447537,0.018599685,0,0.156907335,0.337977648,0.188700333,0.037204895,0.279209793,0.178841591,0.035547309,0.010833039,0.036696743,0.062847741,0.10352315,0.080120564,(None reported),Service,Professional and Related,(None reported),Education and Health Services,Professional and Business Services,0.8765288,0.182146683,0.081637464,0.074571021,0.091444723,United States,0.806843817,El Salvador,0.038752083,China,0.010798015,English,0.807554543,Spanish,0.10124369,French,0.016140858,0.028661309,0.286358923,0.05845914,0.143792719,0.20287326,0.091938905,0.015321335,0.059012756,0.138517648,0,0,0.612918794,0.416202992,0.533223271,0.117692068,0
11001a,"Washington, DC",Universe population,11069,384507.1737,39,0.820936263,0.384480745,0.238968626,0.197486922,0.179063708,0.766547799,0.062445585,0.171006605,0.816707909,0.075855933,0.10743618,0.09862981,0.000501065,0.028293544,0.010852965,0.071974114,0.032201514,0.054734807,0.207176089,0.175561562,0.082831606,0.080741011,0.14630945,0.010192476,0.207176074,0.175561562,0.14630945,0.141611606,0.233277097,0.30779919,0.14683418,0.051890906,0.089501932,0.000445111,0.019712731,0.007227717,0.000897389,0.000802123,0.30779919,0.233277097,0.14683418,94500.617,3.175067841,2.644917684,0.135843173,0.414462686,2316.713111,0.475506932,0.403045744,0.421708375,0.106480002,0.043169878,0.025596008,0.084335499,0.003981185,0.026552636,0.053801678,0.083414339,0.165568888,0.129241765,0.03211768,0.589657307,0.098703928,0.016814418,0.012723733,0.023776118,0.027949147,0.055936426,0.040661573,Professional and Related,"Management, Business, and Financial",Service,Professional and Business Services,Education and Health Services,Public Administration,0.886081219,0.182272822,0.059641648,0.100654557,0.067482546,United States,0.801170886,El Salvador,0.032202128,Ethiopia,0.01277036,English,0.807401359,Spanish,0.093712129,French,0.017985106,0.014882257,0.322884351,0.131282344,0.081083849,0.213167176,0.105724901,0.009288819,0.022522354,0.227390215,0.035562139,0.035561617,0.263259947,0.16345787,0.215306252,0.024332412,0.037600666
